Transaction_Amount,Transaction_Hour,Transaction_Frequency,Account_Age_Days,International_Transaction,New_Device,Failed_Attempts,Distance_From_Home,Online_Transaction,Fraud
95.3,6,6,1066,0,0,0,50.28,1,0
33.35,6,6,2268,0,0,0,16.16,1,0
163.96,18,5,822,0,0,0,35.29,1,0
90.68,5,7,1916,0,0,0,24.73,0,0
150.33,10,7,1888,0,0,0,13.91,1,0
125.16,10,9,550,0,0,0,38.9,1,0
29.11,6,5,527,0,0,0,2.78,1,0
38.08,1,4,944,0,1,2,21.76,1,1
140.79,18,7,142,1,0,2,1.19,1,1
122.78,3,5,2153,0,0,3,4.25,1,0
65.31,5,5,433,0,1,0,22.84,1,0
74.99,16,4,867,0,0,0,9.19,0,0
239.29,4,9,91,0,0,1,7.61,1,0
36.91,6,5,2372,0,0,0,78.0,1,0
115.25,8,6,1762,0,0,0,11.39,0,0
54.48,0,0,925,0,0,1,20.8,0,0
53.64,0,6,1676,0,0,2,19.1,1,0
200.09,18,8,1873,0,0,0,1.6,0,0
152.23,5,4,375,0,0,1,28.04,1,0
150.43,17,6,1858,0,0,3,17.98,1,0
246.04,9,3,2423,0,0,0,12.01,1,0
68.1,10,3,1126,0,0,1,1.71,0,0
131.89,0,7,2128,0,0,1,8.67,0,0
48.9,0,4,335,0,0,3,53.87,0,1
92.22,12,2,1540,0,0,0,4.77,1,0
58.55,4,1,1359,0,1,2,6.19,0,0
73.48,19,7,2271,0,0,2,5.74,1,0
120.92,0,2,1080,1,0,2,55.37,0,1
29.42,19,5,1763,0,0,2,30.1,1,0
540.44,2,6,2146,0,1,1,53.39,1,1
24.39,17,7,1260,0,0,2,61.26,0,0
19.8,8,5,1430,1,0,2,65.77,1,1
212.32,13,5,2274,0,0,1,16.62,1,0
147.18,16,8,1785,0,0,0,16.17,1,0
124.48,22,5,2358,0,0,0,44.14,0,0
125.0,13,6,935,0,0,0,10.08,1,0
65.87,3,3,179,0,0,1,0.56,1,0
27.19,4,9,1398,0,0,1,10.07,1,0
71.94,20,5,1265,0,0,0,31.5,1,0
33.88,16,5,629,0,0,2,3.3,0,0
176.82,21,7,1266,0,0,2,38.4,0,0
57.57,1,4,691,0,0,1,42.25,0,0
29.21,22,6,2094,0,0,1,2.66,1,0
48.36,21,4,1435,1,0,1,2.57,0,0
100.78,4,5,1020,0,0,0,5.54,1,0
37.95,3,6,435,0,0,0,11.02,1,0
29.31,3,2,1938,0,0,1,19.02,0,0
85.09,5,9,2465,0,0,0,16.62,0,0
85.2,19,2,226,0,1,0,47.96,1,0
40.17,20,5,2227,1,1,2,3.84,0,1
41.64,12,5,619,1,0,1,29.9,0,0
84.1,21,2,367,0,0,4,19.9,0,0
15.67,4,5,195,0,0,0,33.37,0,0
16.32,22,10,734,0,0,2,10.46,1,0
32.51,22,2,879,0,1,2,15.94,0,0
53.87,6,4,833,1,0,1,0.73,1,0
91.0,19,6,1777,0,0,0,3.09,1,0
291.59,0,7,1987,0,0,1,11.75,1,0
157.22,13,7,688,1,0,2,16.41,0,1
56.83,23,3,1194,0,0,2,2.24,0,0
65.43,3,6,293,0,0,1,43.57,0,0
24.47,16,9,193,0,0,0,72.99,1,0
65.46,20,6,2199,1,0,0,22.68,1,0
49.97,13,8,1629,0,1,3,1.37,0,0
92.09,15,7,240,1,0,2,33.56,0,1
29.16,13,4,2445,1,1,0,6.12,0,0
112.09,15,3,744,0,0,0,33.07,1,0
308.81,23,10,167,0,0,0,14.24,0,0
59.81,19,4,1351,0,0,2,1.37,1,0
99.65,7,3,1218,0,0,0,8.17,0,0
132.97,23,10,1085,0,0,1,13.92,1,0
44.65,2,12,1036,1,1,3,33.32,1,1
83.44,18,2,2134,0,1,0,3.57,0,0
67.53,0,3,1680,1,0,0,8.46,1,0
73.53,1,2,1871,0,0,0,2.18,1,0
30.78,14,8,1049,0,1,1,23.92,1,0
68.34,21,3,2287,0,0,1,16.07,1,0
109.73,9,7,913,0,1,0,66.13,1,1
284.62,17,5,898,0,0,0,33.73,1,0
174.04,21,6,1300,0,1,2,37.61,1,0
574.32,13,2,1339,0,0,2,4.49,1,0
30.96,16,4,1039,0,0,2,7.75,1,0
159.54,12,9,1143,0,0,1,17.99,1,0
80.11,0,7,152,0,0,1,0.34,1,0
595.74,4,4,1940,1,0,1,51.03,1,1
29.72,12,3,1700,0,0,2,37.6,0,0
28.8,13,1,216,0,0,1,1.49,0,0
36.62,23,5,2486,0,0,0,47.27,0,0
7.97,2,2,175,1,0,1,0.11,1,1
39.42,14,7,2317,1,0,1,3.03,1,0
31.21,18,6,2007,0,0,1,1.42,1,0
77.51,16,4,403,0,0,1,16.31,0,0
93.86,2,6,130,0,0,1,38.32,1,0
435.36,15,4,422,0,0,2,4.92,1,0
172.5,13,4,1985,0,0,0,36.9,0,0
37.45,11,5,2225,0,0,0,5.11,0,0
27.16,11,4,430,0,0,3,116.51,0,0
109.06,10,6,1739,0,0,0,48.01,0,0
17.81,16,9,277,0,1,5,33.41,1,0
416.32,7,4,2095,0,0,0,22.39,0,0
216.9,16,3,2395,0,1,0,6.94,0,0
41.71,20,6,1787,1,0,1,3.18,0,0
12.02,22,5,2387,0,0,2,15.42,1,0
258.24,19,6,208,1,0,0,12.88,1,0
59.47,10,2,14,0,0,1,28.06,1,0
229.94,1,3,1465,0,0,1,4.66,1,0
13.54,9,1,998,0,0,0,20.65,1,0
36.62,9,5,1404,0,1,3,29.55,1,1
67.04,10,7,904,0,1,5,8.88,1,1
69.89,5,3,1900,0,0,2,37.85,1,0
42.52,3,3,2160,0,0,1,14.13,1,0
124.32,23,8,2492,1,0,3,4.44,1,0
22.93,11,3,1941,0,1,0,5.42,1,0
57.84,10,1,659,0,0,1,8.17,1,0
75.21,22,5,1838,0,0,2,4.3,0,0
111.55,22,12,2438,0,0,1,20.69,1,0
135.86,12,4,2123,0,0,0,74.47,1,0
21.66,4,6,588,0,0,1,56.6,1,0
14.38,5,3,2327,1,1,0,9.78,1,0
239.29,0,6,56,0,0,0,50.0,1,0
92.97,5,8,374,0,1,1,76.99,0,1
31.55,17,7,2125,0,1,1,8.71,1,0
314.55,21,5,2264,0,0,0,58.92,1,0
74.86,8,3,82,0,0,0,149.09,1,0
216.87,23,5,1292,0,0,2,39.95,0,0
71.34,14,11,2032,0,1,1,12.37,1,0
523.61,7,3,2087,0,0,0,23.45,1,0
385.81,18,16,1036,0,0,1,11.32,1,0
51.99,23,5,1554,0,0,1,137.8,0,1
176.19,15,0,1553,0,0,0,1.76,0,0
127.15,5,5,530,0,0,1,55.89,1,0
262.08,5,5,410,0,0,1,1.94,1,0
25.41,21,3,1697,0,0,4,1.08,1,1
132.43,2,1,2001,0,0,0,70.31,1,0
192.18,9,4,2046,0,0,0,50.49,1,0
11.49,0,5,663,0,1,0,11.22,1,0
20.42,13,2,959,0,0,1,78.98,1,0
8.68,3,4,857,0,0,3,49.49,1,0
50.94,11,7,1505,0,1,2,58.07,1,1
136.67,5,4,944,1,0,2,22.6,1,0
299.57,10,6,1405,0,0,2,79.45,0,0
71.82,11,6,2488,0,1,0,41.46,0,0
339.89,9,7,548,0,0,1,70.32,1,0
16.78,17,8,80,0,0,2,8.27,1,0
12.14,6,4,1515,0,0,0,18.99,1,0
63.08,6,6,1764,1,0,2,50.56,1,1
97.91,10,5,1835,0,0,0,21.67,1,0
64.54,3,6,265,0,0,3,40.37,0,0
8.44,19,4,2204,0,0,1,90.39,1,0
61.0,0,2,911,0,0,2,40.81,0,1
18.09,12,2,679,0,0,0,9.47,1,0
130.28,17,10,1893,0,0,2,3.16,1,0
96.22,8,2,149,1,0,1,7.96,1,0
26.05,23,4,1456,0,0,2,27.18,1,0
39.89,23,8,73,0,0,2,0.28,0,0
23.12,8,3,1304,0,0,0,5.26,1,0
62.63,22,12,1731,1,0,0,9.9,1,0
173.32,8,2,877,0,1,2,52.03,1,0
24.89,9,3,522,0,0,1,1.31,1,0
110.39,1,7,1040,0,0,1,1.28,0,0
39.24,5,3,1426,0,0,1,20.06,0,0
30.18,14,6,2104,0,0,2,4.89,0,0
59.92,2,4,877,0,0,1,6.93,0,0
23.68,10,4,787,0,0,3,5.09,1,0
38.33,5,0,1035,1,0,0,21.78,1,0
20.13,2,9,368,0,0,1,1.43,1,0
475.67,23,5,1510,0,0,3,70.34,1,1
69.08,10,1,1948,0,0,2,3.29,0,0
33.12,14,5,1455,0,0,2,75.7,1,0
82.6,12,3,824,0,0,0,37.64,1,0
59.6,19,3,605,0,0,2,44.01,0,0
53.47,9,7,2261,0,0,0,4.74,1,0
123.24,5,9,980,1,0,1,27.69,1,0
142.24,14,5,236,1,0,0,42.47,1,0
39.23,17,5,826,0,0,1,20.41,0,0
37.49,17,4,2000,0,0,0,20.02,1,0
50.65,6,2,2208,0,0,2,4.34,0,0
6.67,14,6,1851,0,0,0,13.37,1,0
14.66,17,8,2074,0,0,0,4.08,1,0
261.62,17,6,2361,0,0,0,90.17,1,0
345.49,19,4,1922,0,1,0,28.87,1,1
51.99,8,7,1547,0,0,2,1.24,0,0
118.69,23,7,1479,0,0,0,16.19,1,0
91.04,1,5,1374,0,1,2,25.4,0,0
1449.36,7,6,1094,0,0,1,2.51,0,0
204.3,19,5,276,0,0,1,27.34,1,0
58.68,1,5,1130,0,0,1,4.88,1,0
25.65,10,8,1316,0,1,2,13.1,1,1
13.38,6,7,1280,1,0,0,24.56,0,0
81.73,5,4,44,0,0,1,11.36,1,0
31.3,9,3,795,1,0,2,11.99,1,1
16.08,4,6,77,0,0,0,46.39,1,0
34.93,10,4,198,1,0,0,9.25,1,0
22.61,0,8,50,0,1,1,26.62,1,0
360.37,1,4,617,0,0,0,47.29,0,0
161.04,23,4,692,0,1,1,4.14,1,0
66.16,0,12,954,0,0,0,1.18,1,0
292.93,18,3,956,0,0,0,43.65,1,0
72.05,1,4,1341,0,0,0,20.03,0,0
28.18,20,4,862,1,0,1,43.96,1,0
305.86,19,4,983,0,1,0,5.99,1,0
114.31,22,3,766,0,0,0,44.69,1,0
23.64,20,3,1704,0,0,0,2.5,1,0
55.13,23,6,1317,0,0,0,53.68,1,0
27.78,3,6,1652,0,0,0,43.22,0,0
16.73,11,5,1979,0,0,0,20.94,1,0
168.37,21,6,1381,0,0,0,23.43,0,0
450.08,19,4,1228,1,1,1,10.61,0,1
16.47,17,6,1813,0,0,1,5.63,1,0
117.09,0,5,493,0,1,2,15.19,1,0
34.79,0,4,2017,0,0,0,26.78,0,0
40.97,23,3,597,0,0,0,161.98,1,0
36.88,13,3,1381,0,1,1,42.49,1,0
28.11,3,5,1131,0,0,0,14.24,1,0
70.0,4,2,291,0,0,3,33.99,1,0
29.05,10,3,639,0,0,0,2.86,1,0
87.4,23,3,2476,0,0,1,13.41,1,0
63.42,22,3,232,1,0,0,13.83,1,1
52.51,12,8,89,0,0,1,168.64,1,0
26.91,15,3,835,0,1,0,12.4,0,0
37.46,23,4,2470,0,0,1,2.17,1,0
141.94,12,9,2391,0,0,1,1.74,0,0
110.05,23,5,1361,0,0,1,29.97,1,0
25.09,21,5,1035,0,1,2,8.53,0,0
73.65,1,4,1236,0,0,1,50.8,1,0
141.37,15,4,2315,1,0,1,16.49,1,0
12.56,5,1,846,0,0,3,10.03,0,0
114.82,13,2,2053,0,0,0,35.59,1,0
34.38,0,7,1474,0,0,0,13.51,0,0
117.99,16,4,464,0,0,1,33.43,0,0
31.09,10,5,1820,0,0,0,31.3,1,0
10.97,18,6,2076,0,0,2,32.11,0,0
13.1,2,6,1913,0,0,1,48.64,1,0
69.97,10,6,988,0,0,0,47.16,1,0
86.46,4,5,442,1,0,3,27.31,1,1
27.0,16,7,1462,0,0,1,78.64,0,0
126.29,21,7,261,0,0,2,0.52,1,0
12.66,6,5,2033,0,1,0,66.63,0,0
62.42,9,3,805,0,0,0,4.01,1,0
19.87,10,10,1856,0,0,2,5.95,0,0
34.75,2,3,230,0,0,2,42.51,0,0
69.92,19,8,2170,0,0,2,12.79,1,0
28.21,9,4,569,0,0,0,13.85,0,0
45.4,9,3,1091,0,0,0,7.57,1,0
182.42,13,7,2254,0,0,1,6.35,1,0
37.45,11,5,1751,0,0,0,2.81,0,0
153.81,14,7,789,0,0,2,5.48,0,0
21.55,9,10,2272,0,0,3,20.91,1,0
113.27,9,2,645,0,0,1,30.66,1,0
281.9,18,6,1049,0,1,0,33.57,1,0
5.63,0,3,2290,0,0,0,11.56,0,0
30.06,23,6,2082,1,0,0,63.76,0,0
118.76,9,5,1434,0,0,3,9.96,1,0
54.43,1,3,1813,0,0,0,2.95,1,0
96.65,16,6,1398,0,0,0,72.61,1,0
36.45,23,4,2128,1,0,3,19.45,1,0
72.72,6,6,1592,0,0,2,88.84,1,0
57.07,6,3,2082,0,0,2,12.51,1,0
214.39,19,3,467,0,0,1,35.41,0,0
86.01,8,5,220,0,0,1,2.91,1,1
93.47,21,7,1072,0,0,0,48.12,0,0
44.17,1,4,686,0,0,1,4.68,0,0
40.95,13,9,2152,0,0,1,1.78,1,0
43.27,16,3,1423,0,0,0,2.57,1,0
98.93,0,8,2277,0,0,3,20.38,0,0
43.77,8,4,915,0,0,1,8.63,1,0
89.1,19,5,1301,0,1,1,81.08,0,0
531.34,20,8,1527,0,0,1,47.88,1,0
