Age,Income,Credit_Score,Loan_Amount,Employment_Years,Existing_Debt,Savings,Loan_Approved
49,21062,312,68620,25,3191,91301,0
35,104076,467,53874,10,33160,96648,1
21,109780,620,54708,2,64641,26556,0
45,41545,618,79553,7,49723,60042,0
27,41689,628,73344,13,3631,19099,0
29,31174,849,54138,13,6172,46096,1
44,108461,718,59302,9,42080,72986,1
21,146174,394,52638,1,20281,14230,1
64,123033,617,83249,13,28671,30009,1
28,29348,535,7719,8,51431,71969,0
44,43714,633,27890,2,28602,34866,0
31,58102,675,82236,20,51399,85246,1
37,94460,758,41509,25,23472,77975,1
28,122634,436,47534,7,49230,42855,1
55,109930,846,97241,15,73616,82557,1
55,26801,812,23787,1,7099,7416,0
53,123150,595,53845,5,25431,73516,1
25,92267,619,62932,27,56492,56915,1
62,68136,648,97124,20,47684,19058,0
59,43625,528,96659,28,30111,77637,0
61,102873,569,38062,25,63936,41718,1
48,120843,590,80713,24,22614,33602,1
27,92592,464,92263,11,41991,75658,1
29,97052,304,65461,4,70476,79112,1
28,64261,678,80418,1,60920,59067,0
32,21542,377,71672,15,63530,28516,0
54,41677,709,39832,4,36224,88969,1
53,66732,431,36966,14,7788,2089,1
43,70343,341,77545,11,28082,38346,1
44,59081,388,17987,3,76816,75663,1
57,82856,701,42311,14,16531,11487,1
55,113105,595,36575,10,44857,1155,0
64,108858,594,68852,15,10142,68494,1
60,39065,825,6007,22,48355,77229,1
42,144097,721,75981,5,9866,39547,1
47,103460,322,81242,13,70067,29795,1
55,108092,442,52517,17,64027,56296,1
21,146116,444,34257,11,57906,22447,1
55,74693,524,92272,26,28138,37598,1
57,46962,802,47207,10,29956,42814,1
34,48295,403,18281,12,76295,91751,0
23,33807,338,66246,20,5439,76330,0
21,62348,497,6435,22,47241,99745,1
25,46432,690,96357,10,42533,88960,0
46,103285,478,31660,22,28270,64278,1
34,126995,747,10084,15,78815,56077,1
59,111792,799,87197,14,39279,72906,1
47,77854,314,18507,20,23888,10528,1
29,60262,588,77595,27,17630,94812,1
35,57080,777,88807,14,61063,51100,1
35,21324,530,50539,24,35144,9179,0
46,111267,719,12491,3,52161,49781,1
62,144707,456,55192,10,77360,56267,1
33,55909,849,85395,18,50979,83379,1
52,109339,740,68888,14,6979,24952,1
59,39870,396,78609,3,26189,54798,0
52,54578,710,14077,20,42600,99696,1
24,92124,588,25953,12,59560,51939,1
50,137611,553,81919,21,78040,30516,1
57,123605,495,72889,18,61558,57526,1
43,46790,821,28821,1,6910,11449,1
59,138874,816,42567,13,57713,51290,1
35,45289,417,29860,28,46857,87661,0
63,75129,458,26195,3,34964,73954,1
49,113714,527,82475,15,25227,23746,1
56,114246,515,95874,20,5978,68990,1
33,35485,314,92266,19,17153,59810,0
52,64482,456,26427,13,59765,84297,1
27,106188,560,32083,26,39071,16223,1
42,24748,456,92046,28,69519,73237,0
48,106769,346,62372,14,9503,3597,1
22,29435,623,49064,27,60703,66677,0
62,23709,429,12813,2,64379,3659,0
26,143961,710,36598,7,57866,87516,1
48,50355,394,98106,15,16905,75567,1
48,75771,591,32082,9,45838,16037,1
64,77799,582,34241,3,58279,47738,1
64,33116,368,49569,29,26806,72678,0
40,45470,310,16745,17,45000,13109,0
50,62344,553,31029,1,22168,23010,1
31,62918,849,18025,16,70119,9787,1
48,72224,433,19288,12,38714,9472,1
45,59298,322,94186,3,54093,24383,0
59,128492,645,11540,25,55419,62709,1
53,100219,601,86958,24,49145,70785,1
21,81629,662,73878,29,77425,35518,1
47,86040,695,46846,10,77811,54909,1
33,119518,517,80932,6,2461,19351,1
61,119835,440,22482,11,14291,70624,1
23,48016,509,28411,9,46804,54330,0
59,43960,759,55975,6,76971,16282,0
26,53591,655,65545,12,64946,85866,1
28,102848,623,83797,6,61332,22778,1
47,123333,432,57307,23,77794,25264,1
29,131732,426,8093,16,30841,60675,1
57,134821,405,82258,9,48758,6075,0
53,87641,677,27042,28,76272,76948,1
62,56395,350,57930,9,37643,49454,1
64,131276,328,49413,23,50408,29365,1
44,149695,761,98623,3,43950,73766,1
35,42700,595,38756,19,56849,49200,0
52,54620,596,58268,3,28044,12002,1
52,123214,706,44214,21,15997,14947,1
44,148148,704,86871,6,79751,80222,1
61,40559,645,33602,21,23911,95840,1
32,113045,719,58331,0,55533,79610,1
59,113396,481,53901,11,14571,53142,1
22,81642,300,68416,23,57941,57307,1
23,96539,670,37196,12,58005,5493,1
57,41732,730,10626,9,58712,51085,1
37,148675,608,12424,14,43541,35228,1
22,111362,436,17857,26,23387,80676,1
22,50354,501,24982,12,48908,52875,1
48,33843,735,81961,22,13057,32655,1
43,130008,612,6980,21,64028,44472,1
57,134065,416,53290,21,55731,50437,1
52,91726,543,31431,20,24858,50416,1
53,37640,836,89976,21,48689,60711,0
21,72528,374,87711,27,44638,7816,0
39,58413,685,31385,8,46486,78175,1
22,148142,509,43158,25,20567,65307,1
64,72638,774,28019,8,29739,47733,1
46,72736,717,23639,14,57804,96028,1
52,127892,646,90530,9,3754,12240,1
26,130133,828,26563,23,27044,99234,1
52,126357,478,44341,25,67260,93493,1
24,88866,481,10776,24,66912,99344,1
31,39087,324,41444,28,8706,72363,1
37,61430,479,73916,9,8894,33762,1
58,44504,800,13711,7,18037,9259,1
44,27114,460,79318,23,51612,51139,0
25,98859,476,87970,15,29725,15849,1
54,119657,584,90553,16,5926,82768,1
26,30975,362,35707,25,9496,90709,1
42,31023,455,44110,26,56447,55869,0
31,41447,768,66788,4,29806,64095,1
36,110469,348,87879,3,41321,71910,1
53,145899,383,43827,17,65095,87710,1
29,43959,660,10655,23,22656,24567,1
26,86203,447,49859,18,55147,36292,1
36,139156,641,58625,3,49666,75813,1
49,49703,775,57098,27,38787,98136,1
23,29337,362,20251,6,62946,52631,0
40,66427,659,5526,9,21727,10885,1
56,141507,626,73760,24,68056,60659,1
39,81529,440,52837,17,3081,55306,1
46,122023,514,16536,18,34196,67314,1
23,104665,734,33541,3,36735,66087,1
39,125787,617,84083,9,79578,30165,1
40,51921,331,56027,0,25498,59929,1
52,53307,584,39531,22,76865,68028,1
27,47355,604,13712,17,31656,96998,1
61,123268,728,70455,4,67695,50812,1
53,147016,776,79744,14,37900,51500,1
60,24835,585,10109,16,47701,80151,0
59,40159,443,54268,2,19033,59643,0
38,124346,723,59615,11,10805,45900,1
60,67605,318,87503,1,35851,43946,0
21,141790,317,34759,0,26832,8851,0
31,125616,670,90708,22,63437,17288,1
48,58088,474,65112,20,13944,73692,1
45,98752,493,31589,16,19873,68580,1
43,75284,801,35015,21,40372,8368,1
51,77043,412,34009,15,15379,86436,1
50,145388,413,88309,4,36751,97136,1
62,55547,521,67046,14,5110,47403,1
55,117007,563,31143,2,54341,92170,0
27,102844,354,11154,27,12087,10168,1
36,47532,757,26804,6,23762,87497,1
46,54349,461,46688,10,9596,50879,1
22,142402,679,69288,9,18313,60871,1
21,138012,386,56195,8,66549,90388,1
32,65445,354,25581,13,23705,99646,1
25,25713,775,57648,12,67364,33174,0
57,76178,477,35087,28,73445,93491,1
52,69407,690,54930,24,78645,7581,1
29,90340,648,37981,29,2023,72853,1
61,70990,307,74298,24,59796,65046,1
55,95672,612,51167,1,64429,50678,0
39,149473,742,80304,2,61627,27649,1
36,85545,627,48408,6,33848,89668,1
23,104791,353,44499,20,37804,83325,1
40,78141,538,57269,17,15379,15567,1
44,43793,528,43559,2,59664,81404,0
53,76570,350,79319,9,27766,90906,1
44,115084,563,53787,21,68099,97019,1
31,57892,717,40488,28,36060,62944,1
28,21015,395,79441,6,69122,79002,0
56,144704,387,79663,8,16087,29803,1
58,81813,377,27431,16,48868,19230,1
60,47712,587,66681,10,23225,18862,0
40,120497,419,68483,6,6643,44355,1
55,28415,790,54153,23,36727,32259,1
45,131854,751,11368,27,11005,88445,1
55,132816,799,32424,13,65697,31795,1
45,148778,464,50004,18,16029,9770,1
49,82292,481,88869,3,14226,12093,1
38,43833,768,93652,25,63646,47571,0
38,24158,306,61985,5,60603,1193,0
22,82680,629,55069,9,28731,18569,1
55,40309,450,57326,6,68926,12190,0
36,26970,384,86061,12,5997,63824,0
61,92474,446,28398,13,55506,43752,1
56,106704,680,55861,3,78229,33327,1
53,66540,847,80897,7,49815,43070,1
24,40384,584,86905,4,42092,86925,0
53,38017,381,73577,0,62539,41197,0
34,95880,813,70641,3,66077,3261,1
41,125570,822,14078,2,21817,94905,1
40,28702,685,30003,8,37861,27512,1
28,20384,770,67768,7,13428,7716,0
27,20404,418,56047,0,43934,87795,0
23,60943,695,76626,26,10258,29933,1
37,67926,831,62660,5,57775,5378,1
53,49189,560,54786,8,5469,41583,1
32,32763,555,6925,6,28854,86371,1
42,38384,525,88976,3,6256,30033,0
42,80100,352,31015,12,76256,25000,1
50,118142,799,38320,16,33937,76868,1
58,29860,805,69881,27,1651,43604,1
58,124293,663,95827,1,50288,69336,1
28,100642,579,31289,27,25051,96074,1
47,70612,457,8389,4,27386,96655,1
47,43574,358,30683,11,75054,74869,0
54,43524,427,18629,26,16184,6410,0
41,89172,414,66550,20,33787,84375,1
50,30916,508,29826,7,21621,57044,1
53,24809,825,31630,5,75564,64315,0
48,52201,820,51163,7,77984,97055,1
53,73330,536,71435,17,59792,72344,1
25,33456,580,16653,2,45253,7796,0
39,133748,658,32961,21,34051,87716,1
24,76397,500,86941,11,49811,55245,1
55,141288,577,79137,28,30447,44056,1
37,58765,534,38662,25,30254,18709,1
64,54816,793,61446,2,57418,59557,1
48,65106,303,26288,21,14472,18543,1
50,73932,741,41877,5,3471,38418,1
49,37100,328,20313,1,8329,95611,0
26,77091,408,85885,22,34865,97038,1
55,41949,374,77715,11,46850,17724,0
61,90080,445,15326,1,54220,4828,0
57,57744,427,6560,5,6397,18087,1
44,65543,341,84148,16,35525,13605,1
49,128319,655,88186,2,53072,32337,1
51,112193,340,31745,1,23284,6482,0
55,56187,333,36890,22,61330,66333,1
53,132734,316,25022,29,25122,93541,1
41,27239,452,57579,19,70553,89296,0
52,144454,677,75316,7,62812,51952,1
43,34489,641,88847,21,7999,6463,0
53,134937,326,33380,11,22436,71448,1
23,78017,586,7356,25,42963,5648,0
38,81877,467,75326,3,2096,34623,1
45,63125,567,97447,4,25279,60156,1
62,69922,754,94899,12,26201,36634,1
51,114074,700,25049,28,19715,45602,1
23,52049,775,80717,14,29309,50334,1
60,57131,429,21082,24,15078,69648,1
44,62944,662,5661,22,56614,23054,1
52,135765,591,42412,15,5105,71028,1
42,93963,670,7920,9,2839,23207,1
43,126884,328,96194,29,68920,81650,1
22,145917,448,65315,29,43619,82554,1
47,44285,595,84561,24,42821,22386,0
62,57626,310,13946,22,13493,84276,1
22,62808,811,99242,15,17069,60518,1
46,108464,412,50500,11,7531,53781,1
37,73871,486,21309,16,37051,53780,1
60,39198,526,60230,15,7736,62440,0
53,39758,609,35027,11,7710,45199,1
29,35254,397,77541,7,67155,62035,0
63,64238,354,64321,19,13975,9210,1
59,21252,705,5956,2,62424,45363,0
49,59764,368,79131,15,45603,79279,0
62,97709,611,52908,29,23252,61348,1
46,57441,588,83339,12,1431,56284,1
55,112234,847,30963,22,74603,73124,1
45,73682,447,44443,27,37481,69847,1
44,79494,766,44063,18,9557,23432,1
33,101317,543,85818,7,74971,65089,1
27,85215,790,9703,21,162,56398,1
56,98587,806,70128,4,34742,4321,1
40,125185,664,77099,19,19675,82348,1
21,26949,781,30849,7,73997,38383,1
28,127825,500,36860,23,17015,79682,1
36,75393,453,36585,11,50057,80190,1
34,93553,749,27015,0,32591,53893,1
32,26941,800,82539,24,9833,36820,1
43,45934,372,48585,29,7896,67262,1
35,43386,595,31958,20,32972,4760,0
48,145362,316,31017,19,49733,23190,1
54,81886,516,81707,5,41800,68411,1
22,95745,360,50350,21,5347,24377,1
52,103251,341,17201,17,59063,47737,1
43,114456,324,34426,7,2643,70569,1
42,73413,338,22778,6,40785,39211,1
45,76800,430,50241,0,18681,83909,1
42,117239,797,47229,20,50026,4744,1
42,62318,528,91652,15,15892,25995,1
62,139803,407,53364,11,47299,17977,1
26,90173,471,89878,5,17073,98938,1
35,90390,734,62056,19,30682,35542,1
63,72329,777,32490,1,14289,11651,1
57,142418,401,24975,28,7927,79931,1
53,63088,823,31723,13,48330,96344,1
28,136868,574,28279,3,66707,17715,1
64,123196,343,83301,0,77454,45409,0
64,59811,316,16561,22,65428,25306,1
25,134825,629,71061,17,50601,20086,1
59,75479,796,93397,12,77465,15376,1
24,105392,311,54153,1,2539,62350,1
26,107369,617,38142,8,22669,72425,1
52,137520,515,31916,20,70968,37636,1
50,39963,638,69324,1,20644,87120,0
55,75123,380,49965,26,18745,52649,1
60,145911,784,9648,24,28228,35610,1
36,122468,673,40133,8,34521,11058,1
33,112705,499,55677,0,26928,75637,1
62,93477,836,99588,10,18322,79033,1
50,34388,765,75135,2,57714,71194,0
39,25569,388,40046,19,62292,77917,0
37,89836,567,52064,29,29055,65200,1
39,124573,788,74350,22,42891,47619,1
48,56586,837,50893,25,6588,18154,1
46,147018,346,66272,3,6304,20539,1
57,32015,587,97152,17,7345,61058,0
46,65002,315,72649,22,29300,63068,1
43,136594,700,69674,5,24259,78313,1
29,26254,385,18760,2,15352,31373,0
32,37144,549,26927,21,33365,34154,1
21,44214,690,91475,10,19446,7031,0
21,125654,634,66367,14,2336,94533,1
54,100719,818,17588,21,62032,72975,1
52,91774,436,57233,27,75415,23785,1
45,26090,797,49738,4,7521,79928,1
60,31637,776,38397,19,71707,29669,0
21,42415,522,87189,9,23481,95475,0
36,44071,671,81367,11,18474,3282,0
59,78243,701,76260,14,46760,35624,1
25,130951,742,81619,16,55718,49438,1
42,145827,789,24816,9,44629,90900,1
49,128215,572,47240,5,45232,68534,1
23,61240,825,11276,17,67169,32705,1
32,146146,458,84530,12,50669,39244,1
46,103807,451,28499,2,78021,75964,0
36,121570,487,93576,29,69184,38437,1
57,53434,397,87495,23,47945,78872,0
42,89724,430,76635,9,13140,75878,1
49,135359,470,90112,29,14357,73982,1
34,95697,482,40946,13,68673,51583,1
48,48732,663,60204,5,65633,39392,0
25,141465,338,56886,2,76943,8461,0
50,31314,826,76652,15,78258,11516,0
25,43954,796,20563,6,12924,80285,1
32,77108,815,97324,19,69286,18514,1
36,107044,648,97464,13,74071,37268,1
46,107505,696,14847,8,57326,91486,1
46,131195,460,31155,14,30651,37788,1
41,123081,315,84671,20,70202,76749,1
59,56668,792,88310,2,48777,62049,0
56,43061,725,72278,1,16994,63493,0
53,99252,407,23309,26,67263,37027,1
50,59749,749,5619,1,59634,94547,1
57,149668,610,88194,2,10800,43849,1
43,124680,469,55108,17,37823,18858,1
30,36907,845,39707,13,63878,85162,1
25,38777,713,25337,19,18708,80003,1
56,113229,550,86537,17,12819,53395,1
54,71745,440,71504,9,74905,40758,1
51,128464,573,52614,24,63870,55312,1
30,148077,715,96428,1,9283,69670,1
39,111865,338,96155,24,30573,83279,1
52,132428,328,5281,28,78707,16434,1
21,101818,776,32420,21,30933,65047,1
25,43624,617,85896,0,5774,48775,0
24,43321,544,44030,3,72055,76769,0
36,30488,571,6058,13,10983,67677,1
44,42574,739,91213,0,18133,84555,0
36,25240,538,81260,13,14939,86920,0
22,63221,676,33404,15,781,46734,1
48,30478,565,34856,21,56700,89503,0
52,148055,658,14200,13,27624,41603,1
47,75645,639,69178,28,6823,77708,1
40,130698,688,38997,19,18489,82926,1
44,39262,302,30611,2,39961,69803,0
32,138831,728,46235,2,29118,40332,1
55,72796,441,40057,8,22263,92703,1
53,24432,675,6239,5,13565,22312,1
53,115257,623,70661,24,20354,94376,1
63,84291,445,50272,12,42951,85526,1
57,99104,592,94393,20,23648,45179,1
32,79399,731,66212,1,50729,72442,1
23,147600,698,20398,7,41971,41379,1
21,99714,643,61503,20,18658,18297,1
53,70428,439,11638,1,21253,3011,0
60,107731,486,11570,3,64166,45014,1
30,145646,360,73785,24,48563,12738,1
63,20302,679,14110,14,26390,95333,1
64,102558,739,84141,3,51578,48498,1
49,20055,618,17115,12,79025,12120,0
33,131317,601,44062,27,32658,9767,1
32,28717,643,27911,11,6852,23852,1
51,147449,310,37556,27,2551,80239,1
22,48699,361,83131,12,71947,1929,0
55,93686,525,6969,13,61001,78487,1
43,87661,452,48753,19,49159,92575,1
37,64247,609,87811,17,51707,96040,0
46,134049,542,9470,28,33243,18438,1
28,36748,792,15225,27,21800,49515,1
49,125113,665,28196,5,75939,6744,1
46,24621,629,18669,28,57828,84820,0
30,35034,406,42380,10,7239,43417,0
46,131927,525,53320,29,6710,8069,1
54,147858,517,52414,1,21384,43359,1
61,25126,805,20577,27,21038,20799,1
